"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1022.2","1022.6","1024.5","2019-01-01 09:12","1020.0","2019-01-01 14:30","21.3","24.3","2019-01-01 13:55","19.0","2019-01-01 04:10","15.6","70","60","2019-01-01 13:38","1.7","10","5.5","350","2019-01-01 05:39","0.0","0.0","0.0","...","0.0","...","0.0","0.0","6.47","9.0","-0.8","4","2019-01-01 13:00","9.5"
"02","1022.1","1022.5","1024.1","2019-01-02 08:53","1019.9","2019-01-02 15:00","21.2","23.6","2019-01-02 12:29","19.2","2019-01-02 06:45","16.9","76","69","2019-01-02 14:20","2.0","360","6.6","360","2019-01-02 23:59","T","1.0","T","2019-01-02 11:02","T","2019-01-02 10:40","0.0","0.0","5.81","4.8","-2.6","4","2019-01-02 12:00","9.9"
"03","1022.2","1022.6","1024.3","2019-01-03 09:21","1020.0","2019-01-03 15:15","22.5","26.9","2019-01-03 13:40","19.1","2019-01-03 06:55","17.9","76","61","2019-01-03 13:11","2.1","360","6.6","360","2019-01-03 00:16","0.0","0.0","0.0","...","0.0","...","2.7","25.1","10.09","8.0","4.6","6","2019-01-03 12:00","5.6"
"04","1021.7","1022.1","1023.9","2019-01-04 08:49","1019.7","2019-01-04 14:46","22.9","26.5","2019-01-04 13:49","20.1","2019-01-04 05:08","18.6","77","65","2019-01-04 13:49","1.8","350","5.2","290","2019-01-04 14:55","0.0","0.0","0.0","...","0.0","...","2.9","27.0","9.86","6.5","0.5","5","2019-01-04 13:00","5.1"
"05","1019.2","1019.6","1020.9","2019-01-05 00:01","1017.6","2019-01-05 14:14","24.9","28.8","2019-01-05 12:25","21.2","2019-01-05 05:31","20.1","75","61","2019-01-05 10:16","1.4","40","5.6","350","2019-01-05 22:06","0.0","0.0","0.0","...","0.0","...","7.0","65.1","12.49","6.3","2.9","7","2019-01-05 13:00","6.8"
"06","1019.0","1019.4","1020.5","2019-01-06 08:56","1017.3","2019-01-06 15:05","23.9","27.8","2019-01-06 13:21","21.1","2019-01-06 06:47","18.8","74","60","2019-01-06 13:51","2.3","320","6.3","360","2019-01-06 12:22","0.0","0.0","0.0","...","0.0","...","4.7","43.7","10.58","5.7","2.6","6","2019-01-06 13:00","4.3"
"07","1019.3","1019.7","1021.1","2019-01-07 08:54","1017.6","2019-01-07 14:32","23.1","26.5","2019-01-07 13:04","20.6","2019-01-07 04:34","18.4","75","66","2019-01-07 13:04","2.1","340","8.5","320","2019-01-07 14:43","0.0","0.0","0.0","...","0.0","...","7.9","73.3","13.45","5.2","3.0","6","2019-01-07 12:00","2.5"
"08","1019.0","1019.4","1020.8","2019-01-08 08:41","1016.4","2019-01-08 15:04","23.4","27.5","2019-01-08 11:51","20.5","2019-01-08 05:07","19.2","77","66","2019-01-08 11:49","2.3","10","7.8","310","2019-01-08 13:43","0.0","0.0","0.0","...","0.0","...","5.3","49.2","11.80","4.7","2.8","6","2019-01-08 12:00","4.4"
"09","1020.0","1020.4","1022.0","2019-01-09 09:10","1017.6","2019-01-09 14:53","23.4","27.0","2019-01-09 14:28","20.1","2019-01-09 06:32","18.4","74","65","2019-01-09 13:43","2.4","360","7.0","320","2019-01-09 13:10","0.0","0.0","0.0","...","0.0","...","8.9","82.5","12.95","4.5","2.4","5","2019-01-09 12:00","1.5"
"10","1018.9","1019.3","1020.7","2019-01-10 08:36","1017.2","2019-01-10 15:01","24.0","26.6","2019-01-10 11:49","20.8","2019-01-10 04:47","19.2","74","68","2019-01-10 09:50","2.0","310","7.0","320","2019-01-10 13:32","0.0","0.0","0.0","...","0.0","...","6.3","58.3","12.33","4.5","4.0","6","2019-01-10 13:00","4.6"
"11","1017.5","1017.9","1019.6","2019-01-11 08:40","1015.1","2019-01-11 14:51","24.8","27.8","2019-01-11 13:54","21.8","2019-01-11 07:05","19.7","73","66","2019-01-11 10:22","1.8","30","5.8","290","2019-01-11 12:27","0.0","0.0","0.0","...","0.0","...","9.2","85.1","14.08","3.5","4.0","6","2019-01-11 13:00","2.1"
"12","1016.9","1017.3","1018.2","2019-01-12 08:26","1015.5","2019-01-12 14:07","25.1","28.4","2019-01-12 10:26","23.0","2019-01-12 04:09","19.6","72","61","2019-01-12 10:14","1.9","310","7.3","310","2019-01-12 13:13","0.0","0.0","0.0","...","0.0","...","3.4","31.4","9.78","6.5","3.2","5","2019-01-12 12:00","5.7"
"13","1016.8","1017.2","1018.8","2019-01-13 09:05","1015.1","2019-01-13 14:56","23.5","27.2","2019-01-13 12:06","21.3","2019-01-13 23:12","18.2","73","63","2019-01-13 11:18","2.2","350","6.2","360","2019-01-13 04:48","0.0","0.0","0.0","...","0.0","...","3.5","32.3","10.65","5.7","2.7","6","2019-01-13 12:00","7.5"
"14","1016.5","1016.9","1018.3","2019-01-14 09:01","1014.6","2019-01-14 14:50","22.9","25.9","2019-01-14 11:16","19.8","2019-01-14 05:22","17.7","73","65","2019-01-14 21:03","2.1","300","6.3","300","2019-01-14 13:42","0.0","0.0","0.0","...","0.0","...","7.1","65.5","12.22","4.8","3.5","5","2019-01-14 12:00","4.3"
"15","1016.9","1017.3","1018.9","2019-01-15 09:10","1015.2","2019-01-15 14:34","22.8","26.5","2019-01-15 12:49","20.6","2019-01-15 22:38","18.1","75","67","2019-01-15 00:05","1.9","10","6.4","310","2019-01-15 16:37","0.4","0.6","0.4","2019-01-15 22:30","0.4","2019-01-15 22:30","2.8","25.8","9.58","4.2","-1.5","5","2019-01-15 13:00","7.5"
"16","1017.1","1017.5","1018.8","2019-01-16 08:57","1015.0","2019-01-16 14:35","20.8","22.9","2019-01-16 14:29","19.4","2019-01-16 23:59","17.1","79","71","2019-01-16 14:42","2.9","350","9.7","360","2019-01-16 19:48","1.0","1.4","0.5","2019-01-16 03:25","0.5","2019-01-16 03:05","0.0","0.0","5.82","5.3","2.9","4","2019-01-16 12:00","9.7"
"17","1018.7","1019.1","1021.0","2019-01-17 23:38","1016.6","2019-01-17 03:52","19.9","24.3","2019-01-17 14:28","17.1","2019-01-17 23:28","15.2","75","60","2019-01-17 15:05","3.4","360","8.2","350","2019-01-17 11:58","0.0","0.0","0.0","...","0.0","...","5.1","46.9","11.05","5.7","1.8","7","2019-01-17 13:00","5.0"
"18","1020.4","1020.8","1022.4","2019-01-18 08:44","1018.4","2019-01-18 15:21","20.2","23.4","2019-01-18 12:38","16.6","2019-01-18 02:54","14.9","72","64","2019-01-18 12:37","2.2","310","6.9","290","2019-01-18 13:08","0.0","0.0","0.0","...","0.0","...","8.2","75.4","15.24","6.2","2.9","7","2019-01-18 13:00","2.3"
"19","1019.0","1019.4","1020.8","2019-01-19 00:01","1017.2","2019-01-19 14:17","21.9","25.8","2019-01-19 12:58","19.8","2019-01-19 07:05","15.4","67","51","2019-01-19 12:54","2.1","30","6.8","330","2019-01-19 14:39","0.6","0.9","0.6","2019-01-19 23:39","0.6","2019-01-19 23:05","0.0","0.0","7.79","5.5","-1.6","5","2019-01-19 13:00","9.5"
"20","1017.6","1018.0","1019.5","2019-01-20 09:11","1015.8","2019-01-20 15:22","22.5","26.0","2019-01-20 12:19","19.4","2019-01-20 01:27","17.1","73","55","2019-01-20 13:35","2.4","350","7.4","350","2019-01-20 14:57","0.5","0.8","0.5","2019-01-20 00:01","0.5","2019-01-20 00:01","2.8","25.7","9.90","6.3","3.9","6","2019-01-20 12:00","6.5"
"21","1018.2","1018.6","1020.1","2019-01-21 09:06","1016.5","2019-01-21 03:54","19.3","22.9","2019-01-21 15:11","17.4","2019-01-21 21:26","14.5","74","64","2019-01-21 15:10","3.3","360","8.7","360","2019-01-21 20:48","0.0","0.0","0.0","...","0.0","...","1.0","9.2","6.72","6.5","2.3","4","2019-01-21 14:00","8.8"
"22","1018.7","1019.1","1020.1","2019-01-22 09:16","1016.8","2019-01-22 15:26","18.5","22.5","2019-01-22 12:06","16.0","2019-01-22 07:21","12.5","69","55","2019-01-22 16:06","4.0","360","9.1","360","2019-01-22 16:52","0.0","0.0","0.0","...","0.0","...","8.6","78.7","15.01","7.0","4.4","7","2019-01-22 13:00","2.1"
"23","1018.4","1018.8","1020.1","2019-01-23 08:34","1017.1","2019-01-23 15:30","18.7","23.4","2019-01-23 15:17","14.6","2019-01-23 06:11","12.2","66","53","2019-01-23 14:28","2.4","350","7.3","360","2019-01-23 00:23","0.0","0.0","0.0","...","0.0","...","3.6","32.9","9.99","5.3","3.1","5","2019-01-23 12:00","5.0"
"24","1018.6","1019.0","1020.0","2019-01-24 08:31","1016.9","2019-01-24 15:17","20.6","24.9","2019-01-24 13:59","16.7","2019-01-24 04:08","13.5","65","49","2019-01-24 14:09","2.2","360","7.2","320","2019-01-24 15:18","0.0","0.0","0.0","...","0.0","...","9.6","87.6","15.22","5.8","3.1","6","2019-01-24 13:00","0.4"
