"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1004.5","1007.9","1006.7","2020-08-01 23:50","1002.7","2020-08-01 15:19","32.3","36.5","2020-08-01 12:51","29.4","2020-08-01 04:32","22.2","56","38","2020-08-01 14:54","3.1","130","13.8","120","2020-08-01 11:26","0.0","0.0","0.0","...","0.0","...","10.8","81.5","29.98","55.0","8.4","13","2020-08-01 12:00","7.3"
"02","1003.9","1007.3","1006.6","2020-08-02 00:04","1002.1","2020-08-02 16:31","30.8","36.8","2020-08-02 12:33","27.0","2020-08-02 23:59","23.3","66","39","2020-08-02 10:44","2.2","90","11.4","120","2020-08-02 14:20","2.0","0.2","2.0","2020-08-02 23:38","2.0","2020-08-02 22:48","7.3","55.2","22.35","47.5","-2.2","12","2020-08-02 13:00","5.8"
"03","999.5","1003.0","1002.5","2020-08-03 00:01","997.4","2020-08-03 16:09","26.6","28.7","2020-08-03 08:02","25.5","2020-08-03 23:14","26.1","97","83","2020-08-03 08:13","1.9","270","14.1","290","2020-08-03 15:11","91.0","11.6","16.5","2020-08-03 13:08","28.0","2020-08-03 12:26","0.0","0.0","5.01","10.0","/","2","2020-08-03 11:00","10.0"
"04","1003.2","1006.7","1007.7","2020-08-04 22:45","999.7","2020-08-04 00:49","28.1","33.4","2020-08-04 10:40","25.1","2020-08-04 03:17","24.7","84","47","2020-08-04 10:45","1.0","170","6.8","350","2020-08-04 12:48","36.5","3.5","6.0","2020-08-04 22:05","23.5","2020-08-04 21:22","1.1","8.3","12.13","22.5","-1.8","8","2020-08-04 11:00","9.5"
"05","1007.3","1010.7","1008.9","2020-08-05 22:56","1005.6","2020-08-05 03:41","29.6","34.4","2020-08-05 14:42","25.8","2020-08-05 05:04","23.8","73","44","2020-08-05 14:44","1.2","70","6.1","70","2020-08-05 14:42","0.0","0.0","0.0","...","0.0","...","2.4","18.2","14.93","37.5","3.4","9","2020-08-05 11:00","8.8"
"06","1007.0","1010.4","1008.7","2020-08-06 00:01","1005.0","2020-08-06 16:05","31.4","37.2","2020-08-06 14:10","27.2","2020-08-06 05:27","22.6","62","35","2020-08-06 14:45","1.8","140","7.8","130","2020-08-06 16:29","0.0","0.0","0.0","...","0.0","...","7.4","56.3","23.92","30.0","6.0","11","2020-08-06 13:00","5.3"
"07","1004.8","1008.2","1006.5","2020-08-07 00:01","1002.5","2020-08-07 17:08","31.4","36.5","2020-08-07 14:24","27.4","2020-08-07 06:05","23.0","63","40","2020-08-07 09:35","1.2","150","6.8","320","2020-08-07 15:26","0.0","0.0","0.0","...","0.0","...","7.8","59.4","21.54","28.8","3.8","9","2020-08-07 12:00","4.5"
"08","1002.1","1005.5","1003.8","2020-08-08 00:01","1000.1","2020-08-08 15:51","30.9","35.8","2020-08-08 12:19","28.1","2020-08-08 05:31","23.3","65","44","2020-08-08 12:06","1.7","90","7.0","100","2020-08-08 23:07","0.0","0.0","0.0","...","0.0","...","4.0","30.5","16.00","30.0","4.7","8","2020-08-08 12:00","8.3"
"09","1000.0","1003.4","1001.3","2020-08-09 08:06","998.4","2020-08-09 16:25","30.6","34.2","2020-08-09 11:29","27.8","2020-08-09 05:36","23.2","65","44","2020-08-09 11:43","1.2","210","8.1","360","2020-08-09 14:10","0.0","0.0","0.0","...","0.0","...","0.8","6.1","14.55","50.0","6.4","8","2020-08-09 12:00","8.3"
"10","1002.0","1005.4","1003.5","2020-08-10 19:31","1000.3","2020-08-10 01:33","30.0","35.3","2020-08-10 11:57","27.0","2020-08-10 20:03","24.6","75","46","2020-08-10 12:00","1.2","180","8.0","120","2020-08-10 16:37","8.0","3.7","1.0","2020-08-10 19:00","4.5","2020-08-10 18:49","3.0","22.9","14.20","10.5","-3.9","5","2020-08-10 12:00","9.3"
"11","1006.0","1009.4","1009.4","2020-08-11 23:52","1001.9","2020-08-11 00:59","28.3","34.8","2020-08-11 12:09","25.9","2020-08-11 13:49","25.3","86","49","2020-08-11 12:11","1.0","220","10.4","20","2020-08-11 13:42","13.5","4.6","4.0","2020-08-11 12:57","11.0","2020-08-11 12:55","2.8","21.5","10.52","26.3","-3.4","6","2020-08-11 11:00","9.8"
